Day of week,Energy,Week Day,Year,Month,Day of month,Sum
1.0,21.363562,1.0,2018.0,9.0,3.0,232.09659
1.0,19.66886,1.0,2018.0,9.0,3.0,251.76544
1.0,20.277561,1.0,2018.0,9.0,3.0,272.043
1.0,7.5794344,1.0,2018.0,9.0,3.0,279.62244
1.0,8.256194,1.0,2018.0,9.0,3.0,287.87863
1.0,3.8195448,1.0,2018.0,9.0,3.0,291.69818
2.0,1.3148018,1.0,2018.0,9.0,4.0,1.3148018
2.0,0.0,1.0,2018.0,9.0,4.0,1.3148018
2.0,0.0,1.0,2018.0,9.0,4.0,1.3148018
2.0,0.0,1.0,2018.0,9.0,4.0,1.3148018
2.0,5.5127764,1.0,2018.0,9.0,4.0,6.827578
2.0,10.970262,1.0,2018.0,9.0,4.0,17.79784
2.0,7.584055,1.0,2018.0,9.0,4.0,25.381893
2.0,18.36791,1.0,2018.0,9.0,4.0,43.749805
2.0,42.023388,1.0,2018.0,9.0,4.0,85.77319
2.0,81.78424,1.0,2018.0,9.0,4.0,167.55743
2.0,95.15997,1.0,2018.0,9.0,4.0,262.7174
2.0,71.519875,1.0,2018.0,9.0,4.0,334.23727
2.0,59.350178,1.0,2018.0,9.0,4.0,393.58746
2.0,67.981735,1.0,2018.0,9.0,4.0,461.5692
2.0,67.30252,1.0,2018.0,9.0,4.0,528.8717
2.0,43.048172,1.0,2018.0,9.0,4.0,571.9199
2.0,28.678225,1.0,2018.0,9.0,4.0,600.59814
2.0,28.987125,1.0,2018.0,9.0,4.0,629.58527
2.0,21.486605,1.0,2018.0,9.0,4.0,651.07184
2.0,26.683844,1.0,2018.0,9.0,4.0,677.7557
2.0,45.064137,1.0,2018.0,9.0,4.0,722.8198
2.0,28.71259,1.0,2018.0,9.0,4.0,751.5324
2.0,15.487361,1.0,2018.0,9.0,4.0,767.0198
2.0,10.281499,1.0,2018.0,9.0,4.0,777.3013
3.0,5.8788157,1.0,2018.0,9.0,5.0,5.8788157
3.0,3.447153,1.0,2018.0,9.0,5.0,9.325969
3.0,2.2093568,1.0,2018.0,9.0,5.0,11.535326
3.0,1.5042037,1.0,2018.0,9.0,5.0,13.039529
3.0,0.26662752,1.0,2018.0,9.0,5.0,13.306157
3.0,2.8824596,1.0,2018.0,9.0,5.0,16.188616
3.0,5.1796017,1.0,2018.0,9.0,5.0,21.368217
3.0,23.127642,1.0,2018.0,9.0,5.0,44.495857
